date,target,oil,gas,coal,corn,soybean,wheat,rice,usd_eur,usd_jpy,usd_cny,usd_index,usd_rub,cpi_china,cpi_us
02/12/1990,,29.20,2.445,,,,,,0.7199,132.55,5.2352,83.05,,,134.2
09/12/1990,,27.18,2.350,,,,,,0.7106,130.7,5.2352,81.98,,,134.2
16/12/1990,,27.70,2.262,,,,,,0.7124,132.95,5.2352,82.75,,,134.2
23/12/1990,,25.78,1.962,,,,,,0.7326,135.55,5.2352,85.57,,,134.2
30/12/1990,,27.04,1.950,,,,,,0.7216,134.85,5.2352,84.03,,,134.2
06/01/1991,,23.56,1.743,,,,,,0.7218,134.75,5.2352,84.19,,,134.7
13/01/1991,,25.67,1.695,,,,,,0.7341,133.95,5.2352,85.03,,,134.7
20/01/1991,,18.20,1.567,,,,,,0.7226,132.35,5.2352,83.31,,,134.7
27/01/1991,,20.00,1.399,,,,,,0.7137,132.5,5.2352,83.27,,,134.7
03/02/1991,,19.82,1.380,,,,,,0.7037,131.6,5.2352,82.05,,,134.8
10/02/1991,,19.98,1.365,,,,,,0.6987,127.75,5.2352,81.26,,,134.8
17/02/1991,,17.04,1.385,,,,,,0.7073,130.5,5.2352,82.28,,,134.8
24/02/1991,,16.62,1.345,,,,,,0.7164,132.16,5.2352,83.52,,,134.8
03/03/1991,,18.89,1.361,,,,,,0.734,134.65,5.2352,85.01,,,134.8
10/03/1991,,18.81,1.359,,,,,,0.7479,136.74,5.2352,86.42,,,134.8
17/03/1991,,17.73,1.385,,,,,,0.7641,137.87,5.2352,87.94,,,134.8
24/03/1991,,18.57,1.385,,,,,,0.784,137.55,5.2352,90.25,,,134.8
31/03/1991,,17.95,1.405,,,,,,0.8161,140.72,5.2352,92.99,,,134.8
07/04/1991,,18.61,1.400,,,,,,0.7978,136.65,5.2352,91.38,,,135.1
14/04/1991,,20.02,1.376,,,,,,0.8003,136.3,5.2827,91.32,,,135.1
21/04/1991,,19.14,1.355,,,,,,0.8257,138.35,5.2979,93.55,,,135.1
28/04/1991,,19.61,1.367,,,,,,0.835,138.3,5.3036,94.05,,,135.1
05/05/1991,,19.66,1.356,,,,,,0.8308,138.85,5.3007,94.07,,,135.6
12/05/1991,,19.60,1.350,,,,,,0.8259,138.65,5.3264,92.86,,,135.6
19/05/1991,,19.58,1.343,,,,,,0.8256,138.45,5.3201,93.25,,,135.6
26/05/1991,,19.35,1.335,,,,,,0.8161,138.3,5.3359,91.98,,,135.6
02/06/1991,,19.21,1.333,,,,,,0.8274,138.45,5.349,93.38,,,136
09/06/1991,,18.50,1.283,,,,,,0.8432,140.35,5.3585,94.72,,,136
16/06/1991,,18.14,1.293,,,,,,0.8554,140.73,5.3737,95.82,,,136
23/06/1991,,18.54,1.195,,,,,,0.8609,139,5.369,96.8,,,136
30/06/1991,,18.72,1.208,,,,,,0.8659,137.48,5.369,96.99,,,136
07/07/1991,,18.92,1.183,,,,,,0.874,138.35,5.3847,97.59,,,136.2
14/07/1991,,19.74,1.165,,,,,,0.8581,136.5,5.3742,95.79,,,136.2
21/07/1991,,20.21,1.247,,,,,,0.8386,136.35,5.3679,94.09,,,136.2
28/07/1991,,19.62,1.238,,,,,,0.8312,137.7,5.3605,94.11,,,136.2
04/08/1991,,19.50,1.260,,,,,,0.8334,137.2,5.3605,93.93,,,136.6
11/08/1991,,19.60,1.288,,,,,,0.8264,136.6,5.3618,93.35,,,136.6
18/08/1991,,19.48,1.278,,,,,,0.8426,137.4,5.3696,94.85,,,136.6
25/08/1991,,19.98,1.522,,,,,,0.8368,136.88,5.3862,93.88,,,136.6
01/09/1991,,20.70,1.564,,,,,,0.8371,136.83,5.3862,93.65,,,137
08/09/1991,,20.07,1.617,,,,,,0.8308,135.6,5.3862,92.14,,,137
15/09/1991,,20.32,1.590,,,,,,0.8052,134.05,5.3835,90.8,,,137
22/09/1991,,20.44,1.742,,,,,,0.8099,134.22,5.3899,91.81,,,137
29/09/1991,,21.17,1.920,,,,,,0.8054,133.15,5.3899,91.12,,,137
06/10/1991,,21.44,1.904,,,,,,0.8027,129.65,5.3854,91.13,,,137.2
13/10/1991,,22.04,1.955,,,,,,0.8107,129.57,5.3944,91.43,,,137.2
20/10/1991,,22.59,2.025,,,,,,0.8113,129.9,5.3944,91.11,,,137.2
27/10/1991,,21.79,2.081,,,,,,0.8145,131.55,5.3944,91.81,,,137.2
03/11/1991,,22.51,2.083,,,,,,0.7966,129.75,5.3944,89.24,,,137.8
10/11/1991,,21.84,2.082,,,,,,0.7874,130.4,5.3975,89.34,,,137.8
17/11/1991,,21.59,2.040,,,,,,0.787,129.35,5.3976,88.61,,,137.8
24/11/1991,,19.96,2.086,,,,,,0.7644,129.45,5.402,86.86,,,137.8
01/12/1991,,20.13,2.090,,,,,,0.7833,130.02,5.4115,88.37,,,138.2
08/12/1991,,18.88,1.979,,,,,,0.758,127.93,5.4115,85.91,,,138.2
15/12/1991,,18.81,1.836,,,,,,0.7623,129.06,5.4207,86.66,,,138.2
22/12/1991,,17.40,1.453,,,,,,0.74,127.55,5.4261,85.69,,,138.2
29/12/1991,,17.68,1.378,,,,,,0.7309,125.9,5.4292,84.96,,,138.2
05/01/1992,,18.12,1.299,,,,,,0.7418,124.67,5.4559,85.63,,,138.3
12/01/1992,,17.24,1.206,,,,,,0.756,126.98,5.4591,87.52,,,138.3
19/01/1992,,18.32,1.246,,,,,,0.7688,124.15,5.4686,87.41,,,138.3
26/01/1992,,18.22,1.168,,,,,,0.7638,123.55,5.4668,87.48,,,138.3
02/02/1992,,18.15,1.180,,,,,,0.7708,125.81,5.4686,88.41,,,138.6
09/02/1992,,18.86,1.190,,,,,,0.751,125.36,5.455,85.89,,,138.6
16/02/1992,,18.50,1.079,,,,,,0.7813,127.9,5.47,88.78,,,138.6
