Unnamed: 0,target
2015-12-16,520100.0
2015-12-17,313300.0
2015-12-18,953900.0
2015-12-19,825000.0
2015-12-20,633500.0
2015-12-21,871000.0
2015-12-22,491100.0
2015-12-23,462900.0
2015-12-24,361900.0
2015-12-25,556200.0
2015-12-26,191100.0
2015-12-27,170800.0
2015-12-28,247600.0
2015-12-29,196800.0
2015-12-30,279100.0
2015-12-31,303700.0
2016-01-01,49100.0
2016-01-02,106700.0
2016-01-03,110700.0
2016-01-04,95700.0
2016-01-05,92100.0
2016-01-06,91200.0
2016-01-07,81100.0
2016-01-08,28800.0
2016-01-09,134800.0
2016-01-10,54600.0
2016-01-11,131200.0
2016-01-12,85500.0
2016-01-13,92100.0
2016-01-14,114000.0
2016-01-15,93100.0
2016-01-16,71500.0
2016-01-17,44800.0
2016-01-18,144600.0
2016-01-19,95000.0
2016-01-20,1369500.0
2016-01-21,663800.0
2016-01-22,650300.0
2016-01-23,202500.0
2016-01-24,251800.0
2016-01-25,182300.0
2016-01-26,273000.0
2016-01-27,262600.0
2016-01-28,132700.0
2016-01-29,201400.0
2016-01-30,67000.0
2016-01-31,162600.0
2016-02-01,145400.0
2016-02-02,143700.0
2016-02-03,206400.0
2016-02-04,158900.0
2016-02-05,147200.0
2016-02-06,117600.0
2016-02-07,49800.0
2016-02-08,177200.0
2016-02-09,217700.0
2016-02-10,176600.0
2016-02-11,212900.0
2016-02-12,88700.0
2016-02-13,105000.0
2016-02-14,51800.0
2016-02-15,165400.0
2016-02-16,111500.0
2016-02-17,289900.0
2016-02-18,281400.0
2016-02-19,123800.0
2016-02-20,1651700.0
2016-02-21,644100.0
2016-02-22,511800.0
2016-02-23,406300.0
2016-02-24,490500.0
2016-02-25,300800.0
2016-02-26,350500.0
2016-02-27,289100.0
2016-02-28,96800.0
2016-02-29,446200.0
2016-03-01,209600.0
2016-03-02,236300.0
2016-03-03,167000.0
2016-03-04,287800.0
2016-03-05,210800.0
2016-03-06,205500.0
2016-03-07,67800.0
2016-03-08,42600.0
2016-03-09,200200.0
2016-03-10,174000.0
2016-03-11,132900.0
2016-03-12,54900.0
2016-03-13,33800.0
2016-03-14,141400.0
2016-03-15,175300.0
2016-03-16,130500.0
2016-03-17,71500.0
2016-03-18,64100.0
2016-03-19,36300.0
2016-03-20,49800.0
2016-03-21,1404400.0
2016-03-22,1046500.0
2016-03-23,400600.0
2016-03-24,400800.0
2016-03-25,222700.0
2016-03-26,181500.0
2016-03-27,46200.0
2016-03-28,272600.0
2016-03-29,182600.0
2016-03-30,401300.0
2016-03-31,253300.0
2016-04-01,218000.0
2016-04-02,51500.0
2016-04-03,53000.0
2016-04-04,189300.0
2016-04-05,328900.0
2016-04-06,236700.0
2016-04-07,152200.0
2016-04-08,247500.0
2016-04-09,99800.0
2016-04-10,104700.0
2016-04-11,241500.0
2016-04-12,175900.0
2016-04-13,142100.0
2016-04-14,95800.0
2016-04-15,207500.0
2016-04-16,152300.0
2016-04-17,74100.0
2016-04-18,138200.0
2016-04-19,711800.0
2016-04-20,2036300.0
2016-04-21,807500.0
2016-04-22,643800.0
2016-04-23,169000.0
2016-04-24,44200.0
2016-04-25,301600.0
2016-04-26,310600.0
2016-04-27,196600.0
2016-04-28,190300.0
2016-04-29,185000.0
2016-04-30,65300.0
2016-05-01,68500.0
2016-05-02,76600.0
2016-05-03,45600.0
2016-05-04,119800.0
2016-05-05,88100.0
2016-05-06,186400.0
2016-05-07,115200.0
2016-05-08,30100.0
2016-05-09,38800.0
2016-05-10,245400.0
2016-05-11,212700.0
2016-05-12,210800.0
2016-05-13,143600.0
2016-05-14,36600.0
2016-05-15,31600.0
2016-05-16,170300.0
2016-05-17,235300.0
2016-05-18,101100.0
2016-05-19,136200.0
2016-05-20,1702600.0
2016-05-21,584300.0
2016-05-22,132200.0
2016-05-23,511300.0
2016-05-24,259100.0
2016-05-25,204100.0
2016-05-26,170100.0
2016-05-27,159900.0
2016-05-28,91200.0
2016-05-29,53800.0
2016-05-30,172600.0
2016-05-31,270000.0
2016-06-01,115400.0
2016-06-02,204500.0
